"id","user","body","created_at"
"324","blokblak","KEKW","2021-04-19 20:45:39"
"325","paulitooooooooo","DRAWED","2021-04-19 20:45:39"
"326","gahmby","weed is tight, weed is tight","2021-04-19 20:45:40"
"327","drishtortion","am i the only person concerned that Fabi's time hit 0?","2021-04-19 20:45:40"
"328","oogljr","Riiiiiight","2021-04-19 20:45:40"
"329","the7thnoodle","MA BOI","2021-04-19 20:45:41"
"330","cristian_arias04","F","2021-04-19 20:45:42"
"331","eric_thuffelbutter","please insult me levy it will make my day","2021-04-19 20:45:42"
"332","kara_kann","I've never smoked weed, I've always wondered what it's like though. My friends have had different reactions.","2021-04-19 20:45:43"
"333","thefirstlayer","More Ke2 less J","2021-04-19 20:45:43"
"334","xwitekx02","Sadge","2021-04-19 20:45:43"
"335","chonky444","Pog","2021-04-19 20:45:43"
"336","2n2k3","you look tired oops","2021-04-19 20:45:44"
"337","ibrahim_38","Bong?","2021-04-19 20:45:45"
"338","ifclvsx","Kapp","2021-04-19 20:45:45"
"339","potsto_","well this is a lot do","2021-04-19 20:45:46"
"340","flurt2gurthy","8,300 nerds fight for attractive new yorkers attention","2021-04-19 20:45:46"
"341","jollyghoststaliin","I came to the stream to that lmao","2021-04-19 20:45:46"
"342","sycamotree","how was Molly","2021-04-19 20:45:48"
"343","savvnator","Big sad","2021-04-19 20:45:48"
"344","bamanguragain","did fabiano lost?","2021-04-19 20:45:48"
"345","ruilar99","why a king? thats sexist","2021-04-19 20:45:48"
"346","madarkadonk","literal bongcloud YEP","2021-04-19 20:45:48"
"347","penguimms","sure bro","2021-04-19 20:45:49"
"348","duken_e","FeelsStrongMan Clap","2021-04-19 20:45:49"
"349","thewalkingchimney","Chess bong sounds dope","2021-04-19 20:45:49"
"350","autochessai","your parents knew about it?","2021-04-19 20:45:49"
"351","swarrior03","why isnt fabi playing?","2021-04-19 20:45:49"
"352","zayn321","ww","2021-04-19 20:45:50"
"353","blackpowderfist","I'm getting a brisket and egg bagel sandwich","2021-04-19 20:45:51"
"354","kiter808","I have seen discussing eater and you are not even close to that","2021-04-19 20:45:51"
"355","primoz2005","Free item with 30 dollars shipping","2021-04-19 20:45:51"
"356","jioooh","levy whats ur iq","2021-04-19 20:45:51"
"357","fryinglotus","but its legal now","2021-04-19 20:45:51"
"358","futurechessgm","any winning chances?","2021-04-19 20:45:52"
"359","gersak","@duken_e hi comrade","2021-04-19 20:45:52"
"360","srynotsrylol","@righteon114 wtf is wrong with you lol","2021-04-19 20:45:53"
"361","joopheemstra","where is the trrm bonvvloud from","2021-04-19 20:45:53"
"362","vexxplays111111","OH NO MY I BLUNDERED MY VIRGINITY :o","2021-04-19 20:45:53"
"363","potsto_","different from youtubee","2021-04-19 20:45:53"
"364","thenuclearpostman","Only time I ever tried it, I had band practice the next morning and it shredded my voice","2021-04-19 20:45:54"
"365","asger_isager","do you miss it??","2021-04-19 20:45:54"
"366","mrbraz1","fuck","2021-04-19 20:45:54"
"367","tim7000","3 years for me","2021-04-19 20:45:54"
"368","puget96","and hes gone","2021-04-19 20:45:54"
"369","thanatos_god0fdeath","GUYS WHY IS HIS CLOCK 0","2021-04-19 20:45:55"
"370","jollyghoststaliin","smoke it again","2021-04-19 20:45:55"
"371","faberbri","how does white win here?","2021-04-19 20:45:56"
"372","archerist","uh","2021-04-19 20:45:56"
"373","savvnator","Worth","2021-04-19 20:45:56"
"374","darkse1d_tv","привет, Леви","2021-04-19 20:45:57"
"375","othfalou","Fabiano lost??","2021-04-19 20:45:57"
"376","qmoon0","OMEGASP","2021-04-19 20:45:57"
"377","jollyghoststaliin","do it","2021-04-19 20:45:57"
"378","mini_tsunami","Poor bong :(","2021-04-19 20:45:57"
"379","almostedging","warm apple juice","2021-04-19 20:45:58"
"380","coll0id","let's do a male/female/other poll","2021-04-19 20:45:59"
"381","christopherablive","@GothamChess did Fabi lose?","2021-04-19 20:46:00"
"382","hoorvat","wait, fabi actually flagged? Kappa","2021-04-19 20:46:00"
"383","ellis613","can you replpy to me","2021-04-19 20:46:00"
"384","bananabreaddo","Bong Champs","2021-04-19 20:46:00"
"385","xdwillbx","That happened to me too I thought I was gonna die","2021-04-19 20:46:01"
"386","gazelious","you are drug addict? @GothamChess","2021-04-19 20:46:01"
"387","nle_m0nkey","hey me too","2021-04-19 20:46:01"
"388","abdonaggar","why is it 0","2021-04-19 20:46:01"
"389","lekaramh2","that draw?","2021-04-19 20:46:03"
"390","quaqquolo","Is it legal in Ny?","2021-04-19 20:46:03"
"391","eadamr","@righteon114 someone ban this guy","2021-04-19 20:46:04"
"392","soypabloacosta","it was a draw or fabiano won?","2021-04-19 20:46:05"
"393","thanatos_god0fdeath","YEP CLOCK","2021-04-19 20:46:07"
"394","joschka1810","damn, a bad high is freaking scary","2021-04-19 20:46:07"
"395","duken_e","@GersaK Здравствуйте","2021-04-19 20:46:07"
"396","mike__oxlongg","KEKW","2021-04-19 20:46:08"
"397","josephbrav","I’ve thought about getting a chess tattoo but I don’t know if I’d want the piece to be white or black","2021-04-19 20:46:08"
"398","fryinglotus","D:","2021-04-19 20:46:08"
"399","neutralperson75","D:","2021-04-19 20:46:09"
"400","jxba1","KEKW","2021-04-19 20:46:09"
"401","renealbersmann","do you ever want to write a chess book?","2021-04-19 20:46:10"
"402","samlester01","Caffeine is the only drug you need","2021-04-19 20:46:10"
"403","jhaha","LUL","2021-04-19 20:46:10"
"404","murkywaters","LOL","2021-04-19 20:46:11"
"405","salubriousknight","rc7 rb7 ez move here, no?","2021-04-19 20:46:11"
"406","luxe_456","Anyone else see that chat?","2021-04-19 20:46:11"
"407","bee_yourself","KEKW","2021-04-19 20:46:11"
"408","daytothepotato1","nice KEKW","2021-04-19 20:46:11"
"409","i_am_not_good_at_chess","KEKW","2021-04-19 20:46:11"
"410","karasumorrigan","KEKW","2021-04-19 20:46:11"
"411","schmee","KEKW","2021-04-19 20:46:11"
"412","michael62415","your bong is behind you","2021-04-19 20:46:12"
"413","suspiciousbus","KEKW","2021-04-19 20:46:12"
